"region","freq_band","pval_type","pval","experiment","data_type","pval_fdr_adjusted","fdr_significant"
"AMY_x_VPM",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_VPM",1,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_VPM",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_VPM",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_VPM",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_VPM",3,"int_pval",1.5037401689754e-13,"CGRPaba","coherence",2.71096819195565e-13,TRUE
"AMY_x_VPM",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"AMY_x_VPM",4,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_MD_thal",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_MD_thal",1,"int_pval",6.09782664993986e-08,"CGRPaba","coherence",1.03087786383889e-07,TRUE
"LPBN_x_MD_thal",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_MD_thal",2,"int_pval",0.752325353375657,"CGRPaba","coherence",0.804395604563948,FALSE
"LPBN_x_MD_thal",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_MD_thal",3,"int_pval",0.0055389820723989,"CGRPaba","coherence",0.00735248583239913,TRUE
"LPBN_x_MD_thal",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_MD_thal",4,"int_pval",7.24200658923279e-08,"CGRPaba","coherence",1.21970637292342e-07,TRUE
"LPBN_x_Po",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_Po",1,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_Po",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_Po",2,"int_pval",1.22435826906911e-07,"CGRPaba","coherence",2.05435394959911e-07,TRUE
"LPBN_x_Po",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_Po",3,"int_pval",0.183172999007707,"CGRPaba","coherence",0.218248679668757,FALSE
"LPBN_x_Po",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_Po",4,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_RPBN",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_RPBN",1,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_RPBN",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_RPBN",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_RPBN",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_RPBN",3,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_RPBN",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_RPBN",4,"int_pval",0.112131356040545,"CGRPaba","coherence",0.137066432486123,FALSE
"LPBN_x_VPM",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_VPM",1,"int_pval",0.000675871413535314,"CGRPaba","coherence",0.00094327225315832,TRUE
"LPBN_x_VPM",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_VPM",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_VPM",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_VPM",3,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_VPM",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"LPBN_x_VPM",4,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_Po",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_Po",1,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_Po",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_Po",2,"int_pval",0.0185359640802698,"CGRPaba","coherence",0.0237260340227453,TRUE
"MD_thal_x_Po",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_Po",3,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_Po",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_Po",4,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_RPBN",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_RPBN",1,"int_pval",2.42792123549631e-09,"CGRPaba","coherence",4.19155573603987e-09,TRUE
"MD_thal_x_RPBN",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_RPBN",2,"int_pval",0.401540801844707,"CGRPaba","coherence",0.459489857538771,FALSE
"MD_thal_x_RPBN",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_RPBN",3,"int_pval",0.00597547145482364,"CGRPaba","coherence",0.00790845261967796,TRUE
"MD_thal_x_RPBN",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_RPBN",4,"int_pval",0.0170674577495968,"CGRPaba","coherence",0.0219089428991959,TRUE
"MD_thal_x_VPM",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_VPM",1,"int_pval",5.92514763889848e-06,"CGRPaba","coherence",9.24901094852446e-06,TRUE
"MD_thal_x_VPM",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_VPM",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_VPM",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_VPM",3,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_VPM",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"MD_thal_x_VPM",4,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Po_x_RPBN",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Po_x_RPBN",1,"int_pval",4.41775811923489e-09,"CGRPaba","coherence",7.59752643922161e-09,TRUE
"Po_x_RPBN",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Po_x_RPBN",2,"int_pval",5.26215009409641e-11,"CGRPaba","coherence",9.2812726069102e-11,TRUE
"Po_x_RPBN",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Po_x_RPBN",3,"int_pval",0.526644997097381,"CGRPaba","coherence",0.58837146807887,FALSE
"Po_x_RPBN",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Po_x_RPBN",4,"int_pval",5.15936872949399e-16,"CGRPaba","coherence",9.59085971291829e-16,TRUE
"Po_x_VPM",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Po_x_VPM",1,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Po_x_VPM",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Po_x_VPM",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Po_x_VPM",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Po_x_VPM",3,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Po_x_VPM",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Po_x_VPM",4,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"RPBN_x_VPM",1,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"RPBN_x_VPM",1,"int_pval",0.022690824523405,"CGRPaba","coherence",0.0287974203583157,TRUE
"RPBN_x_VPM",2,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"RPBN_x_VPM",2,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"RPBN_x_VPM",3,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"RPBN_x_VPM",3,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"RPBN_x_VPM",4,"s_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"RPBN_x_VPM",4,"int_pval",2e-16,"CGRPaba","coherence",3.74112734864301e-16,TRUE
"Acc",1,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Acc",1,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Acc",2,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Acc",2,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Acc",3,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Acc",3,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Acc",4,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"Acc",4,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"AMY",1,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"AMY",1,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"AMY",2,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"AMY",2,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"AMY",3,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"AMY",3,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"AMY",4,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"AMY",4,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"LPBN",1,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"LPBN",1,"int_pval",5.1725378287636e-09,"CGRPaba","power",8.87853236508082e-09,TRUE
"LPBN",2,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"LPBN",2,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"LPBN",3,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"LPBN",3,"int_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
"LPBN",4,"s_pval",2e-16,"CGRPaba","power",3.74112734864301e-16,TRUE
